neighbourhood_group,neighbourhood
,Batignolles-Monceau
,Bourse
,Buttes-Chaumont
,Buttes-Montmartre
,Entrepôt
,Gobelins
,Hôtel-de-Ville
,Louvre
,Luxembourg
,Ménilmontant
,Observatoire
,Opéra
,Palais-Bourbon
,Panthéon
,Passy
,Popincourt
,Reuilly
,Temple
,Vaugirard
,Élysée
